"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Seed ket qua quiz q1","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q1"",""answers"":[0,1,2]}","","200","true","","","","","","","","",""
"TC02 Seed ket qua quiz q2","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q2"",""answers"":[3,0,1]}","","200","true","","","","","","","","",""
"TC03 Lay tat ca ket qua quiz cua u1","GET","","/api/quiz-results/user/u1","","","","","","true","true","1","","","","","","",""
"TC04 Lay latest quiz q1","GET","","/api/quiz-results/user/u1/quiz/q1/latest","","","","","","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC05 Lay latest quiz q2","GET","","/api/quiz-results/user/u1/quiz/q2/latest","","","","","","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC06 Seed assignment a1","POST","","/api/assignment-submissions","","","{""userId"":""u1"",""assignmentId"":""a1"",""fileName"":""uc8-a1-{{run_id}}.zip"",""fileSize"":102400}","","200","true","","","","","","","","",""
"TC07 Seed assignment a2","POST","","/api/assignment-submissions","","","{""userId"":""u1"",""assignmentId"":""a2"",""fileName"":""uc8-a2-{{run_id}}.zip"",""fileSize"":202400}","","200","true","","","","","","","","",""
"TC08 Xem latest assignment a1","GET","","/api/assignment-submissions/user/u1/assignment/a1/latest","","","","","","true","","","id,userId,assignmentId,fileName,fileSize,submittedAt,grade,feedback,status","","","","","",""
"TC09 Xem latest assignment a2","GET","","/api/assignment-submissions/user/u1/assignment/a2/latest","","","","","","true","","","id,userId,assignmentId,fileName,fileSize,submittedAt,grade,feedback,status","","","","","",""
"TC10 Seed exercise e1","POST","","/api/exercise-submissions","","","{""userId"":""u1"",""exerciseId"":""e1"",""answers"":[{""questionId"":""eq1"",""answer"":""html""}],""totalScore"":7,""maxScore"":10,""timeSpent"":540}","","200","true","","","","","","","","",""
"TC11 Seed exercise e2","POST","","/api/exercise-submissions","","","{""userId"":""u1"",""exerciseId"":""e2"",""answers"":[{""questionId"":""eq4"",""answer"":""function test(){}""}],""totalScore"":6,""maxScore"":10,""timeSpent"":840}","","200","true","","","","","","","","",""
"TC12 Xem latest exercise e1","GET","","/api/exercise-submissions/user/u1/exercise/e1/latest","","","","","","true","","","id,userId,exerciseId,answers,totalScore,maxScore,submittedAt,timeSpent","","","","","",""
"TC13 Xem latest exercise e2","GET","","/api/exercise-submissions/user/u1/exercise/e2/latest","","","","","","true","","","id,userId,exerciseId,answers,totalScore,maxScore,submittedAt,timeSpent","","","","","",""
