"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass lay quiz lesson l2","GET","","/api/quizzes/lesson/l2","","","","","true","true","1","","","","","","","",""
"TC02 Pass lay quiz lesson l4","GET","","/api/quizzes/lesson/l4","","","","","true","true","1","","","","","","","",""
"TC03 Pass lay chi tiet quiz q1","GET","","/api/quizzes/q1","","","","","true","","","id,lessonId,title,durationMinutes,questions","","","","","","",""
"TC04 Fail lay chi tiet quiz khong ton tai","GET","","/api/quizzes/unknown-quiz","","","","404","","","","","","","","","","",""
"TC05 Pass nop q1 all correct","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q1"",""answers"":[0,1,2]}","","200","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC06 Pass nop q2 all correct","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q2"",""answers"":[3,0,1]}","","200","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC07 Fail nop quiz thieu answers","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q1""}","","400","","","","","answers","","","","",""
"TC08 Fail nop quiz quizId khong ton tai","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""no-quiz"",""answers"":[0]}","","404","","","","","","","","","",""
"TC09 Pass lay latest q1","GET","","/api/quiz-results/user/u1/quiz/q1/latest","","","","","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","","",""
"TC10 Fail lay latest quiz khong ton tai","GET","","/api/quiz-results/user/u1/quiz/no-quiz/latest","","","","404","","","","","","","","","","",""
