"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass seed quiz q1","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q1"",""answers"":[0,1,2]}","","200","true","","","","","","","","",""
"TC02 Pass lay tat ca ket qua quiz u1","GET","","/api/quiz-results/user/u1","","","","","true","true","1","","","","","","","",""
"TC03 Pass lay latest quiz q1","GET","","/api/quiz-results/user/u1/quiz/q1/latest","","","","","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","","",""
"TC04 Fail lay latest quiz khong ton tai","GET","","/api/quiz-results/user/u1/quiz/not-found/latest","","","","404","","","","","","","","","","",""
"TC05 Pass seed assignment a1","POST","","/api/assignment-submissions","","","{""userId"":""u1"",""assignmentId"":""a1"",""fileName"":""pf-uc8-a1-{{run_id}}.zip"",""fileSize"":102400}","","200","true","","","","","","","","",""
"TC06 Pass lay latest assignment a1","GET","","/api/assignment-submissions/user/u1/assignment/a1/latest","","","","","true","","","id,userId,assignmentId,fileName,fileSize,submittedAt,grade,feedback,status","","","","","","",""
"TC07 Fail lay latest assignment khong ton tai","GET","","/api/assignment-submissions/user/u1/assignment/not-found/latest","","","","404","","","","","","","","","","",""
"TC08 Pass seed exercise e1","POST","","/api/exercise-submissions","","","{""userId"":""u1"",""exerciseId"":""e1"",""answers"":[{""questionId"":""eq1"",""answer"":""html""}],""totalScore"":7,""maxScore"":10,""timeSpent"":540}","","200","true","","","","","","","","",""
"TC09 Pass lay latest exercise e1","GET","","/api/exercise-submissions/user/u1/exercise/e1/latest","","","","","true","","","id,userId,exerciseId,answers,totalScore,maxScore,submittedAt,timeSpent","","","","","","",""
"TC10 Fail lay latest exercise khong ton tai","GET","","/api/exercise-submissions/user/u1/exercise/not-found/latest","","","","404","","","","","","","","","","",""
